City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
162,Sotouboua,TG,8.5667,0.9833,75.24,88,79,2.57,broken clouds
163,Mayo,US,38.8876,-76.5119,50.11,77,0,5.75,clear sky
164,Monrovia,LR,6.3005,-10.7969,73.17,86,100,5.3,light rain
165,Diego De Almagro,CL,-26.3667,-70.05,54.27,48,0,1.54,clear sky
166,Ballina,AU,-28.8667,153.5667,68.02,99,100,12.01,moderate rain
167,Cherskiy,RU,68.75,161.3,23.56,96,95,7.85,overcast clouds
168,Faanui,PF,-16.4833,-151.75,79.11,74,28,6.49,light rain
169,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,90,100,27.85,overcast clouds
170,Khatanga,RU,71.9667,102.5,19.42,96,100,3.33,overcast clouds
171,Ostrovnoy,RU,68.0531,39.5131,36.19,54,100,30.74,overcast clouds
172,Kenai,US,60.5544,-151.2583,45.09,78,75,12.66,broken clouds
173,Hibbing,US,47.4272,-92.9377,40.6,64,100,3.44,overcast clouds
174,Ust-Kuyga,RU,70.0167,135.6,7.2,91,100,6.89,overcast clouds
175,Isiro,CD,2.7739,27.616,64.87,99,99,1.32,overcast clouds
176,Vanavara,RU,60.34,102.2797,34.09,68,89,5.44,overcast clouds
177,Chebarkul,RU,54.9749,60.3633,39.67,91,100,4.79,overcast clouds
178,Chapeltown,GB,53.4651,-1.4722,54.86,92,100,4.76,overcast clouds
179,Gladstone,AU,-23.85,151.25,75.78,73,100,5.75,moderate rain
180,Avarua,CK,-21.2078,-159.775,77.05,78,75,18.41,broken clouds
181,Miles City,US,46.4083,-105.8406,56.37,38,0,8.05,clear sky
182,Shenzhen,CN,22.5455,114.0683,80.46,65,69,5.23,broken clouds
183,Port Elizabeth,ZA,-33.918,25.5701,70.11,89,20,25.32,few clouds
184,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,21,6.24,few clouds
185,Naryan-Mar,RU,67.6713,53.087,33.21,98,100,11.12,light snow
186,Grindavik,IS,63.8424,-22.4338,40.95,100,75,10.36,broken clouds
